date,close,color,ema5,ema10,ema15,ema20,bbu,bbm,bbl,mom5,mom10,macd,macdsignal,macdhist,rsi
9/16/2019,1508.7,0,1505.754944,1511.488959,1513.544423,1512.173559,1510.505109,1501.047329,1491.589549,0.6,-47.2,5.01091811,12.30928836,-7.298370254,50.71020271
9/17/2019,1510.8,0,1507.436629,1511.363694,1513.20137,1512.042744,1511.020818,1500.723323,1490.425828,14.4,-42,4.479268253,10.74328434,-6.264016088,51.50656876
9/18/2019,1513,1,1509.291086,1511.661204,1513.176199,1512.133911,1513.548609,1502.162723,1490.776837,12.5,-44.2,4.187186249,9.432064723,-5.244878474,52.37469237
9/19/2019,1503.4,0,1507.327391,1510.159167,1511.954174,1511.30211,1514.934685,1503.297778,1491.660871,-1.4,-19.1,3.144817883,8.174615355,-5.029797472,48.3105072
9/20/2019,1512,0,1508.884927,1510.493864,1511.959902,1511.368576,1511.598636,1504.786412,1497.974188,15.2,-0.4,2.978349017,7.135362087,-4.15701307,51.91059665
9/23/2019,1527.8,0,1515.189951,1513.640434,1513.939914,1512.933473,1524.238281,1508.332559,1492.426837,19.1,19.7,4.074382253,6.52316612,-2.448783868,57.73480871
9/24/2019,1536.6,1,1522.326634,1517.814901,1516.772425,1515.187428,1538.019145,1514.109449,1490.199752,25.8,40.2,5.588660346,6.336264966,-0.747604619,60.59717629
9/25/2019,1508.9,0,1517.85109,1516.19401,1515.788372,1514.588625,1542.301025,1517.423211,1492.545398,-4.1,8.4,4.501685515,5.969349076,-1.46766356,49.28303091
9/26/2019,1511.7,1,1515.800726,1515.376917,1515.277326,1514.313518,1540.098726,1518.36028,1496.621835,8.3,6.9,3.822127622,5.539904785,-1.717777163,50.29332321
9/27/2019,1506.4,1,1512.667151,1513.74475,1514.16766,1513.55985,1540.811167,1517.169373,1493.52758,-5.6,9.6,2.823361436,4.996596115,-2.173234679,48.33077631
9/30/2019,1472.9,0,1499.411434,1506.318432,1509.009202,1509.687483,1551.591604,1510.950935,1470.310265,-54.9,-35.8,-0.663687415,3.864539409,-4.528226824,38.1873837
10/1/2019,1489,0,1495.940956,1503.169626,1506.508052,1507.717247,1533.199804,1503.699594,1474.199383,-47.6,-21.8,-2.103811872,2.670869153,-4.774681025,44.24383352
10/2/2019,1507.9,0,1499.927304,1504.029694,1506.682046,1507.734652,1528.756863,1499.548809,1470.340755,-1,-5.1,-1.700447138,1.796605895,-3.497053032,50.38907474
10/3/2019,1513.8,1,1504.551536,1505.806113,1507.57179,1508.312304,1529.21817,1499.161956,1469.105742,2.1,10.4,-0.894387051,1.258407306,-2.152794356,52.1616202
10/4/2019,1512.9,1,1507.334357,1507.095911,1508.237816,1508.749227,1533.004603,1501.102001,1469.1994,6.5,0.9,-0.324460919,0.941833661,-1.26629458,51.8572482
10/7/2019,1504.4,1,1506.356238,1506.605745,1507.758089,1508.335015,1520.938665,1502.987175,1485.035685,31.5,-23.4,-0.552302715,0.643006386,-1.1953091,48.95198781
10/8/2019,1503.9,0,1505.537492,1506.113792,1507.275828,1507.912633,1512.436855,1504.15444,1495.872024,14.9,-32.7,-0.764403236,0.361524461,-1.125927697,48.77886947
10/9/2019,1512.8,1,1507.958328,1507.329466,1507.966349,1508.378096,1514.567742,1505.700183,1496.832624,4.9,3.9,-0.2118962,0.246840329,-0.458736529,52.03079059
10/10/2019,1500.9,1,1505.605552,1506.160472,1507.083056,1507.665897,1516.015917,1506.135512,1496.255107,-12.9,-10.8,-0.725893295,0.052293604,-0.778186899,47.67264504
10/11/2019,1488.7,0,1499.970368,1502.985841,1504.785174,1505.859621,1519.753096,1504.157917,1488.562738,-24.2,-17.7,-2.093544656,-0.376874048,-1.716670608,43.63716346
10/14/2019,1497.6,1,1499.180245,1502.006597,1503.887027,1505.07299,1517.49476,1501.739939,1485.985117,-6.8,24.7,-2.431236809,-0.7877466,-1.643490209,47.15172989
10/15/2019,1483.5,0,1493.953497,1498.641761,1501.338649,1503.01842,1518.353528,1498.038017,1477.722506,-20.4,-5.5,-3.792890356,-1.388775351,-2.404115005,42.61771572
10/16/2019,1494,0,1493.968998,1497.797805,1500.421318,1502.159523,1507.462294,1495.027118,1482.591942,-18.8,-13.9,-3.978882276,-1.906796736,-2.07208554,46.72595548
10/17/2019,1498.3,1,1495.412665,1497.889113,1500.156153,1501.791949,1504.847173,1493.629045,1482.410917,-2.6,-15.5,-3.736239111,-2.272685211,-1.4635539,48.35659024
10/18/2019,1494.1,1,1494.97511,1497.200183,1499.399134,1501.059383,1503.638558,1493.038181,1482.437804,5.4,-18.8,-3.838598578,-2.585867884,-1.252730694,46.84824798
10/21/2019,1488.1,1,1492.683407,1495.545604,1497.986742,1499.825156,1502.538238,1492.155175,1481.772112,-9.5,-16.3,-4.353682507,-2.939430809,-1.414251698,44.70304694
10/22/2019,1487.5,0,1490.955605,1494.082767,1496.675899,1498.651331,1499.066886,1490.930056,1482.793227,4,-16.4,-4.755486925,-3.302642032,-1.452844893,44.4836856
10/23/2019,1495.7,0,1492.53707,1494.37681,1496.553912,1498.370252,1499.103957,1490.594574,1482.085191,1.7,-17.1,-4.361966318,-3.514506889,-0.847459429,48.22312168
10/24/2019,1504.7,0,1496.59138,1496.253753,1497.572173,1498.973085,1504.598499,1492.126193,1479.653888,6.4,3.8,-3.285994717,-3.468804455,0.182809738,52.04138162
10/25/2019,1505.3,1,1499.494253,1497.898525,1498.538151,1499.575649,1510.286074,1494.882386,1479.478698,11.2,16.6,-2.357686543,-3.246580873,0.88889433,52.29396014
10/28/2019,1495.8,1,1498.262835,1497.516975,1498.195882,1499.216063,1510.07859,1496.861631,1483.644672,7.7,-1.8,-2.361346103,-3.069533919,0.708187815,47.98481958
10/29/2019,1490.7,0,1495.74189,1496.277525,1497.258897,1498.405009,1508.537618,1497.201587,1485.865556,3.2,7.2,-2.744140961,-3.004455327,0.260314367,45.80278193
10/30/2019,1500.2,0,1497.227927,1496.990703,1497.626535,1498.575961,1508.507976,1497.474499,1486.441023,4.5,6.2,-2.254944442,-2.85455315,0.599608708,50.33343312
10/31/2019,1518.3,1,1504.251951,1500.86512,1500.210718,1500.454441,1518.975774,1500.088064,1481.200353,13.6,20,-0.402098799,-2.36406228,1.961963481,57.6051418
11/1/2019,1514.9,1,1507.801301,1503.416917,1502.046878,1501.830208,1525.454863,1503.879544,1482.304225,9.6,20.8,0.782918143,-1.734666195,2.517584339,55.94806578
11/4/2019,1514.7,1,1510.100867,1505.468386,1503.628519,1503.055903,1528.863986,1507.727628,1486.591271,18.9,26.6,1.686473661,-1.050438224,2.736911885,55.84629776
11/5/2019,1487.6,0,1502.600578,1502.219589,1501.624954,1501.583912,1531.001767,1507.817428,1484.633088,-3.1,0.1,0.213345093,-0.797681561,1.011026654,44.13226462
11/6/2019,1496.8,1,1500.667052,1501.234209,1501.021835,1501.128301,1530.12846,1505.989993,1481.851525,-3.4,1.1,-0.209343615,-0.680013971,0.470670356,48.1113874
11/7/2019,1469.9,1,1490.411368,1495.53708,1497.131605,1498.154177,1534.527339,1500.395032,1466.262724,-48.4,-34.8,-2.683993245,-1.080809826,-1.603183419,39.29795034
11/8/2019,1466.4,1,1482.407579,1490.239429,1493.290155,1495.12997,1527.916907,1492.359314,1456.801722,-48.5,-38.9,-4.871436765,-1.838935214,-3.032501551,38.31448101
11/11/2019,1460.6,1,1475.138386,1484.850442,1489.203885,1491.841401,1510.598239,1483.272178,1455.946117,-54.1,-35.2,-6.992408904,-2.869629952,-4.122778952,36.67644737
11/12/2019,1457.2,0,1469.158924,1479.823089,1485.2034,1488.54222,1502.425382,1474.379021,1446.332659,-30.4,-33.5,-8.845678712,-4.064839704,-4.780839008,35.71258125
11/13/2019,1466.8,0,1468.372616,1477.455255,1482.902975,1486.471533,1477.122316,1467.911539,1458.700763,-30,-33.4,-9.431053306,-5.138082424,-4.292970881,40.46970541
11/14/2019,1476.9,1,1471.215077,1477.354299,1482.152603,1485.559958,1478.635837,1465.209653,1451.78347,7,-41.4,-8.976505728,-5.905767085,-3.070738643,45.07466708
11/15/2019,1472,0,1471.476718,1476.38079,1480.883527,1484.268534,1479.180685,1464.769578,1450.358471,5.6,-42.9,-8.908965537,-6.506406775,-2.402558762,43.32371962
11/18/2019,1475.4,0,1472.784479,1476.202465,1480.198087,1483.423911,1480.155222,1465.892767,1451.630313,14.8,-39.3,-8.483297689,-6.901784958,-1.581512731,44.92247681
11/19/2019,1477.8,1,1474.456319,1476.492926,1479.898326,1482.888301,1476.051794,1468.031419,1460.011045,20.6,-9.8,-7.86166849,-7.093761665,-0.767906825,46.07874393
11/20/2019,1477.5,1,1475.470879,1476.67603,1479.598535,1482.375129,1474.711858,1470.457166,1466.202475,10.7,-19.3,-7.308977026,-7.136804737,-0.172172289,45.94889048
